application_key,mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33,mvar34,mvar35,mvar36,mvar37,mvar38,mvar39,mvar40,mvar41,mvar42,mvar43,mvar44,mvar45,mvar46,mvar47,default_ind
230048,1899,0.097,0,0,0,1015,13379,13379,246906,56533,missing,9133,9815,76803,missing,0,0,0,0,0,42.52,1111.82,2223.64,17.78,1907,9247,3042,30386,10038,missing,2646,2131,N/A,0,0,4,26,2,0,10.384,missing,0,19,0.4748,0,0,L,0
230049,1690,8.7747,10.437,0,0,122,623,299,1140,2043,4411,1311,520,34685,190420,0,0,0,0,0,46.88,4104.55,4104.55,42.61,395,1551,243,0,2738,missing,missing,39,0.1667,0,0,8,1,12,0,missing,missing,0.63636,5,0.94951,na,0,L,0
230050,1599,0.8601,1.525,1.525,0,missing,878,missing,missing,878,306,missing,missing,58469,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,183,missing,missing,61,5262,2160,5232,6,1.5,1,na,2,0,1,1,missing,91.175,0.8,0,1,na,0,C,1
230051,1859,0.0155,0.368,0,0,424,86509,12451,86635,142081,missing,4922,12569,38649,missing,0,0,0,0,0,20.04,0,N/A,14.63,6109,15148,15148,183,16121,missing,missing,2409,29.5,1,0,8,10,2,0,missing,missing,0,12,0.3473,0,0,L,0
230052,1880,2.6101,0,0,0,0,19252,6342,59601,86906,missing,36675,83417,396400,617468,1,3,3,3,3,208.33,2955.7,2938.8,105.56,548,1004,1004,30386,3650,821,missing,144,7.6667,0,0,9,1,14,0,missing,72.497,0,14,0.28708,na,0,L,0
230053,1852,3.6201,0,0,0,799,16515,16515,110651,41311,missing,15573,42844,56487,205296,0,0,0,1,1,43.64,0,N/A,25.62,4864,16516,16516,30386,16516,missing,missing,1599,1.9167,0,0,3,5,2,0,missing,missing,0,13,0.75349,na,na,L,0
230054,1655,3.0268,14.748,0,0,48,48,48,198,48,901,151,missing,41622,missing,0,0,0,1,1,76,7600,7600,76,91,91,91,0,2190,missing,missing,3,0.6667,0,0,2,0,4,0,missing,missing,1,1,1,na,na,C,1
230055,1863,0.0401,0,0,0,1487,4955,4955,22902,21772,missing,0,0,35676,missing,0,0,0,0,0,N/A,0,0,0,996,3194,3194,30386,3559,missing,2555,262,6.75,0,0,5,6,4,0,96.895,missing,0,12,0.40853,na,0,L,0
230056,1753,0.2251,0,0,0,1124,1124,1124,0,1124,missing,3237,missing,42613,missing,0,0,0,0,0,74.23,7422.73,7422.73,N/A,61,61,61,30386,3468,missing,missing,2,9.4167,0,0,na,0,1,0,missing,missing,missing,0,1,na,na,C,1
230057,1894,0.0318,0,0,0,4655,7433,7433,25667,12345,missing,1093,5393,0,missing,0,0,0,0,0,19.02,N/A,N/A,8.29,2882,6631,6631,30386,6631,4228,missing,379,0.9167,0,na,2,3,1,0,missing,0,0,3,0.99419,0,0,L,0
230058,1803,0.3993,0,0,0,496,10505,496,991,18163,missing,0,0,297300,missing,0,0,0,0,0,N/A,N/A,N/A,0,3407,3407,3407,2190,6661,3163,4076,112,16.3333,0,na,3,1,1,0,91.752,87.306,0.2,5,0.75289,0,0,L,0
230059,1932,0.3276,0,0,0,6982,21569,18829,187209,113813,missing,513,773,158560,495500,0,0,0,0,0,1.75,60.8,N/A,0.55,2489,4593,4593,30386,7330,missing,missing,1555,15.75,0,0,4,11,2,0,missing,missing,0,11,0.9971,0,0,C,0
230060,1714,5.1904,0.77,0,0,0,1889,595,12574,4825,missing,3913,2818,118920,503279,1,1,1,3,3,67.66,5987.65,5552.94,75.13,1052,6235,3589,152,6235,3711,missing,415,N/A,0,1,5,6,8,0,missing,missing,0.35714,6,0.85082,0,0,L,0
230061,na,2.0457,4.514,0,0,missing,missing,missing,missing,0,7209,missing,missing,62433,59441,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,0,1430,missing,missing,missing,2.9167,0,na,7,na,4,na,missing,missing,1.16667,0,N/A,na,na,L,0
230062,1768,2.4194,0.243,0.243,0,215,24501,2973,71725,65241,missing,18373,15172,247751,331886,0,0,0,3,3,58.1,2901.17,2549.38,36.79,1658,4715,4715,517,4775,4198,missing,763,23.9167,0,0,8,10,11,0,missing,89.135,0.06061,18,0.89232,0,0,C,0
230063,1834,0.0651,0,0,0,2378,14944,13874,333795,122955,missing,13021,18720,74325,92758,0,0,0,0,0,28,398.57,125,13.44,2759,4137,3255,30,14478,4106,missing,3264,16.4167,1,1,13,27,5,1,missing,38.544,0,24,0.78792,0,0,L,0
230064,1837,0.0234,0,0,0,missing,700,missing,8275,6745,missing,44,0,79280,193245,0,0,0,0,0,N/A,N/A,N/A,5.27,953,1886,1156,30386,2464,missing,missing,94,6.5833,0,na,1,2,0,0,missing,missing,0,5,1,na,0,L,0
230065,1785,0.2497,0,0,0,0,13243,1231,18246,28870,missing,16520,20408,11892,449081,1,1,1,2,2,108.95,7996.77,7996.77,108.95,720,1247,1247,1095,6296,1521,6266,71,0.5,0,0,13,0,3,0,116.148,79.695,0,14,0.7636,0,0,C,0
230066,1889,N/A,0,0,0,297,19033,19033,38054,27754,missing,5742,33581,247750,missing,0,0,0,0,0,23.18,N/A,N/A,17.14,4380,8000,8000,30386,8000,2707,missing,576,N/A,0,na,1,4,0,0,missing,missing,0,4,1,0,0,L,0
230067,1714,0.3262,13.494,0,0,50,35735,396,27609,55905,264,1126,1246,307210,73111,0,0,0,2,2,78.35,5081.48,5081.48,205.73,2255,3650,3650,0,7391,3893,3985,593,16.4167,0,0,10,5,3,1,29.368,missing,0.21212,4,0.54951,2,0,C,0
230068,1751,1.2501,9.125,0,0,242,14748,2335,31106,18464,missing,4261,3830,89686,missing,0,0,0,0,0,62.32,5120,N/A,164.14,2187,4593,4593,30,7087,missing,4775,863,4.5,1,0,5,11,1,0,97.029,missing,0.31034,5,0.52563,0,na,C,0
230069,1907,0.4734,0,0,0,14865,29714,14865,31415,31696,missing,0,10611,74325,missing,0,0,0,0,0,N/A,N/A,N/A,N/A,2777,missing,missing,30386,8638,missing,missing,639,10.1667,0,na,1,4,0,0,missing,missing,0,4,1,0,0,L,0
230070,1765,N/A,0.368,0,0,0,13880,4905,14994,30465,272,16105,14530,99100,91476,1,1,1,1,1,57.86,0,N/A,81.68,1873,1764,1125,183,6600,61,missing,431,8.6667,1,0,4,3,3,0,missing,96.814,0.05556,8,0.75267,0,0,C,0
230071,1724,0,12.719,0,0,71,16621,1487,6878,40815,1690,2153,6890,142704,403060,0,0,0,1,1,88.69,N/A,N/A,41.78,2509,3498,3498,30,8365,missing,missing,330,21.75,0,na,6,4,1,0,missing,missing,0.21739,7,0.59257,1,0,C,0
230072,1721,1.9276,12.936,0,0,160,67262,25667,66236,72081,33,4871,12945,743250,missing,0,0,0,2,2,96.37,N/A,N/A,19.27,3638,5566,3650,30,13900,1217,1369,1196,0.3333,0,1,7,6,2,0,100,missing,0.25,8,0.51334,0,0,C,0
230073,1858,N/A,0,0,0,missing,39557,missing,27550,39557,missing,0,missing,54505,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,3052,missing,missing,30386,7939,missing,missing,301,17.1667,0,na,1,3,0,0,missing,missing,0,1,1,0,na,L,0
230074,1899,0.6101,0,0,0,991,5946,5946,83446,14364,missing,6,0,24775,437527,0,0,0,0,0,N/A,0,N/A,0.03,4142,11437,11315,30386,18311,missing,missing,1498,9.8333,0,0,1,7,1,0,missing,missing,0,6,1,na,na,L,0
230075,1797,0.0767,0.977,0,0,1288,9644,1288,7234,13325,missing,0,0,0,missing,0,0,0,0,0,N/A,N/A,N/A,0,1754,2190,2190,365,4867,4836,missing,173,19.1667,0,na,2,3,1,0,missing,missing,0,5,0.93684,0,0,L,0
230076,1817,0.3401,0,0,0,480,6914,480,54802,16018,missing,32535,22222,0,129883,0,0,0,1,1,77.25,8064,8064,56.03,5080,11467,11467,30386,13079,missing,missing,1002,4.0833,0,0,3,5,1,0,missing,missing,0,4,0.97644,0,na,L,0
230077,na,0.388,2.031,0,0,missing,missing,missing,missing,0,2194,missing,missing,223,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,0,1551,missing,missing,missing,18.1667,0,na,1,na,1,na,missing,missing,1.2,0,N/A,na,na,C,1
230078,1650,2.5058,16.191,0,10.106,missing,859,missing,missing,1041,4956,missing,missing,47568,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,0,3011,1582,2099,missing,4.3333,0,na,8,na,6,0,100,84.931,0.56522,4,0.38864,na,0,C,0
230079,1712,N/A,11.893,0,0,116,116,116,694,116,1215,181,572,26262,missing,0,0,0,0,0,61,N/A,N/A,61,882,882,882,30,4654,missing,missing,29,2.3333,1,na,3,0,0,0,missing,missing,0.75,0,0.99844,1,na,C,1
230080,na,0,0,0,0,missing,missing,missing,494,0,121,0,missing,40,204146,0,0,0,0,0,N/A,N/A,N/A,N/A,5384,missing,missing,304,5384,3468,missing,177,1.4167,0,na,1,1,1,0,missing,missing,0.5,0,N/A,na,0,C,0
230081,1868,0.0761,0,0,0,5888,6769,6769,18135,12656,missing,227,11816,148650,missing,0,0,0,0,0,1.76,N/A,N/A,1.76,1460,2738,2738,30386,3133,missing,missing,336,4.1667,0,na,2,7,0,0,missing,missing,0,2,0.74236,na,na,C,0
230082,na,0,0,0,0,missing,missing,missing,missing,0,1466,missing,missing,49550,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,183,639,missing,missing,missing,1.4167,0,na,2,na,2,na,missing,missing,2,0,N/A,na,na,C,0
230083,1654,1.1376,15.262,0,0,0,9910,0,46456,26702,missing,3843,69,95136,missing,1,1,1,3,3,121.71,11110,11110,470.84,1690,3315,3315,0,6813,missing,missing,611,9.4167,0,2,6,7,2,0,missing,missing,0.17241,7,0.98891,0,0,C,0
230084,1711,1.3402,13.064,4.609,0,174,1226,282,1090,1980,523,633,4730,3964,missing,0,0,0,0,0,58.09,5809.09,N/A,58.09,654,730,730,30,2068,61,1855,43,0.9167,0,1,3,0,3,0,missing,95.162,0.33333,2,0.97441,na,1,C,0
230085,1902,0.1542,0,0,0,6128,8211,7024,82846,62258,missing,30102,2478,133785,189872,0,0,0,1,1,69.59,1140,1140,69.59,4832,11224,11224,882,17611,missing,missing,1112,0.9167,0,0,4,6,2,0,missing,missing,0.03846,6,0.90091,0,0,C,0
230086,1606,1.1601,6.87,0,0,missing,1528,missing,missing,7148,10177,missing,2569,9910,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,0,3103,missing,missing,missing,5.6667,1,na,19,na,19,0,missing,missing,0.84,1,1,na,0,C,1
230087,1649,0.3261,8.736,0.556,3.08,missing,0,missing,892,198,3050,0,199,44595,240955,na,na,na,0,0,N/A,N/A,N/A,0,1582,760,missing,30,4775,1125,4471,52,0.75,0,na,5,1,2,0,103.517,missing,0.75,2,0.75707,na,0,C,0
230088,1644,1.6683,5.335,0,0,missing,missing,missing,7366,0,717,0,370,49550,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,1745,2707,2707,30,5140,missing,missing,459,N/A,0,na,2,8,0,na,missing,missing,0.36364,0,N/A,na,na,C,0
230089,1760,0,0,0,0,427,14726,1186,128309,26001,missing,23059,58141,118920,679584,0,0,0,2,3,93.01,N/A,N/A,85.6,3947,5962,5627,1065,10038,3042,missing,1687,7.25,0,na,4,13,0,0,missing,missing,0.21053,9,0.52522,0,0,C,0
230090,1837,0.1304,0,0,0,416,30897,9282,98605,102265,missing,33012,286912,297300,1088734,0,0,0,0,2,55.54,N/A,N/A,50.98,4248,10311,10311,639,10311,4715,missing,2513,10.1667,0,na,13,18,2,0,missing,73.427,0,18,0.61488,0,0,C,0
230091,1812,0.5901,0,0,0,284,24849,1456,5946,51472,205,4447,3521,39640,340255,0,0,0,0,0,61.58,6488,N/A,61.58,700,852,852,1460,4623,2829,missing,92,13.8333,0,0,10,0,7,0,missing,56.945,0.10526,10,0.55721,0,0,C,0
230092,1636,0.4623,6.595,0,0,missing,missing,missing,missing,0,405,missing,missing,67388,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,30,3072,missing,missing,missing,3.3333,0,na,1,na,0,na,missing,missing,1,0,N/A,na,na,C,1
230093,1766,0.2906,14.475,0,0,144,62185,991,119916,93456,7420,847,1116,59460,missing,0,0,0,1,1,85.5,8550,8550,12.21,2746,6753,6753,30,7756,4806,missing,1985,19.25,0,0,5,18,3,0,missing,missing,0.26471,5,0.95149,0,0,L,0
230094,1902,0,0,0,0,117,7339,7339,40532,33040,missing,2168,4703,19820,263527,0,0,0,0,0,14.21,N/A,N/A,6.45,3212,6296,6296,30386,6296,3802,missing,1056,0.75,0,na,4,8,1,0,missing,missing,0,10,0.74295,na,0,L,0
230095,1812,0.12,0.497,0,0,2367,15043,9647,22793,32039,missing,10778,57032,185317,601706,0,0,0,0,0,47.29,N/A,N/A,47.29,5262,5779,5779,304,7452,3133,missing,346,2,0,na,4,2,3,0,missing,74.615,0,8,0.73297,0,0,C,0
230096,1792,2.1704,1.078,1.078,0,591,14222,949,27055,47776,missing,11593,9240,173425,376580,0,0,0,1,1,80.68,8303.08,8538.18,80.68,1987,7695,7695,183,9825,4623,missing,588,12.4167,1,0,9,6,6,0,missing,81.9,0.05,8,0.75922,0,0,C,1
230097,1750,0.7501,7.066,0,0,71,849,849,7086,4143,795,2050,10384,57478,missing,0,0,0,1,1,30.17,1808,1556,33.1,1321,2950,2950,61,4289,missing,missing,608,24.1667,0,0,11,6,6,0,missing,missing,0.26667,11,0.25036,na,na,C,0
230098,1642,0.2271,0,0,0,missing,288,missing,248,288,2019,9,missing,59460,157629,na,0,0,0,0,N/A,300,300,N/A,243,61,missing,61,4228,missing,missing,8,23.5833,0,na,3,1,3,0,missing,missing,0.88889,0,1,na,0,C,0
230099,1826,1.8351,0,0,0,0,19794,19794,213824,85131,missing,24551,24085,74325,missing,0,0,0,1,1,37.87,2347.49,2433.75,21.91,2373,11619,11619,2433,11619,4106,8273,2105,2.1667,0,0,10,22,5,0,missing,missing,0.01818,21,0.48094,0,0,L,0
230100,1872,0,0,0,0,1150,32802,23378,75262,96340,missing,18086,36306,345859,472095,0,0,0,1,1,42.44,0,N/A,38.42,2829,4410,4410,30386,6753,3498,1947,744,10.1667,0,na,3,6,2,0,missing,missing,0,11,0.95355,0,0,C,0
230101,1653,0,34.508,0,0,missing,7,missing,5059,7,4538,0,0,42613,395409,na,na,0,0,1,N/A,9766.67,N/A,N/A,1831,4928,4928,30,4928,missing,missing,602,2.5,0,na,10,9,4,0,missing,missing,0.61905,3,1,na,na,C,0
230102,1802,0.172,0,0,0,380,777,380,793,1550,136,413,152,34685,155621,0,0,0,0,0,52.13,5212.5,5212.5,52.13,213,213,213,274,11011,missing,10980,7,25.1667,0,0,4,0,2,0,68.64,missing,0.33333,3,0.73459,na,na,C,0
230103,1806,0,0,0,0,3187,4856,4856,108812,12889,missing,22271,missing,99100,missing,0,0,0,1,2,74.91,N/A,N/A,64.39,1575,3194,3194,30386,11437,missing,10068,673,26.5833,0,na,3,11,0,0,missing,missing,0,5,0.56145,na,na,C,0
230104,1745,0.3618,0,0,0,12,746,746,51339,1214,524,1169,4419,173425,118877,0,0,0,1,1,57.62,2333.33,2333.33,49.06,3412,8638,8638,669,8638,5140,missing,673,1.6667,0,na,3,6,1,0,missing,missing,0.4,3,0.4678,0,0,C,0
230105,1741,0.0493,0.829,0,0,0,30297,576,191442,53971,missing,56301,22088,173425,123025,4,5,5,8,8,91.9,9450.35,7200,86.29,2832,8578,5870,30,12623,1947,missing,1769,0.1667,3,3,11,11,7,3,missing,57.94,0.03226,11,0.6089,0,0,C,1
230106,1939,N/A,0,0,0,1983,72170,15231,69273,108337,missing,4462,51409,0,550005,0,0,0,0,0,15.43,1953.4,N/A,3.59,1678,2981,2981,30386,6874,3711,missing,607,14,0,0,4,6,1,0,missing,missing,0,7,0.91573,0,0,C,0
230107,1743,1.5635,7.08,0,0,297,1083,1083,4261,4077,2995,1163,1175,31712,missing,0,0,0,1,1,32.52,3195.83,3195.83,9.47,926,2646,2646,30,4806,1947,missing,274,21.1667,0,0,7,2,11,0,missing,95.413,0.45833,11,0.70703,na,0,C,1
230108,1751,1.0482,6.576,0,0,0,1433,190,8176,5869,129,6581,1678,128830,missing,0,0,0,3,3,74.65,7589.71,7833.85,67.53,482,913,913,30,2768,852,missing,95,0.8333,0,0,9,1,12,0,missing,97.57,0.10526,14,0.65012,na,0,C,0
230109,1744,0.1487,0,0,0,35,3133,3133,8388,3379,missing,4761,3100,128830,missing,0,0,0,1,1,60.05,6005,5785.33,60.05,1323,456,456,669,7270,3893,missing,174,7.4167,0,0,3,2,3,0,missing,98.173,0.18182,4,0.70538,0,0,C,0
230110,1615,1.3978,1.576,0,0,missing,0,missing,missing,0,934,missing,missing,79280,150947,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,61,669,missing,missing,missing,0.5833,0,na,3,na,6,0,missing,missing,0.75,2,0.77605,na,na,C,1
230111,1919,0,0,0,0,34849,34849,34849,38253,53079,missing,2116,28981,3,1189200,0,0,0,0,0,5.72,N/A,N/A,5.55,8973,8973,8973,30386,8973,missing,missing,295,11.75,0,na,2,1,1,0,missing,missing,0,5,0.99245,0,na,L,0
230112,na,N/A,3.48,0,0,missing,missing,missing,missing,0,1460,missing,missing,7135,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,missing,missing,missing,30,2433,missing,2433,missing,2,0,na,3,na,0,na,missing,missing,1.14286,0,N/A,na,na,C,1
230113,1687,1.9147,1.372,0,0,missing,676,missing,5367,1359,missing,1680,1405,69370,105121,na,1,1,3,3,91.75,5834.48,11720,56.88,2485,608,608,30,7026,missing,missing,572,4.25,1,1,5,6,7,1,missing,missing,0.625,3,0.69267,0,na,C,1
230114,1706,10.7758,16.436,5.142,0,13,1041,496,20538,6194,3250,13067,11828,247751,156594,0,0,0,11,16,88.72,9619.94,5135.48,81.41,930,1947,1947,30,7178,3559,missing,764,8.6667,0,0,29,6,26,0,missing,missing,0.26667,32,0.51061,na,1,C,0
230115,1544,2.7638,9.838,0,0,missing,missing,missing,missing,2590,14236,missing,0,42613,missing,na,na,na,0,0,N/A,N/A,N/A,N/A,2220,2251,2251,30,2251,missing,missing,73,0.75,0,na,13,1,11,na,missing,missing,1,0,N/A,na,0,L,1
230116,1667,1.4406,4.339,0,0,14,4955,4955,14453,5203,349,1968,0,42613,1288300,0,0,0,0,0,99.3,0,0,0,1724,5505,4076,30,5505,missing,missing,510,0.1667,0,0,2,8,2,0,missing,missing,0.19048,4,1,na,na,C,0
230117,1671,2.801,18.4,0,18.115,45,410,51,694,505,1907,599,1412,42613,381040,0,0,0,2,2,86.29,8628.57,8725,86.29,335,548,548,30,3072,183,1399,22,1.3333,0,1,7,0,4,0,missing,84.217,0.6,4,0.73316,na,0,C,1
230118,1609,0.1976,12.634,0,0,0,0,0,729,0,missing,432,1413,29730,131428,1,1,1,1,1,145.33,N/A,N/A,1123.67,722,973,973,30,5080,2585,missing,95,0.25,0,2,2,0,4,0,missing,missing,0.9,1,1,na,0,C,1
230119,1896,0.248,0,0,0,496,59460,34223,95290,263507,missing,7821,30610,247751,157883,0,0,0,0,0,12.73,300,906.35,5.7,1671,3711,3711,30386,3802,3437,missing,989,1.3333,0,0,9,11,12,0,missing,15.383,0,22,0.75779,0,0,C,0
230120,1596,0.2093,11.074,5.052,0,missing,5276,missing,missing,5276,missing,missing,0,42613,109422,na,na,na,0,0,N/A,N/A,N/A,N/A,821,1247,1247,30,1430,1430,missing,54,0.1667,0,1,3,0,1,0,missing,28.508,1,0,1,na,1,C,1
230121,1760,2.153,0.693,0,0,28,6342,6342,64327,52578,27,7803,7509,56487,55496,0,0,0,2,2,23.39,1306.7,451.26,12.68,515,1278,1278,30,1278,missing,missing,508,0.5833,0,0,27,0,34,0,missing,missing,0.02083,48,0.24587,na,na,C,0
230122,1610,0.5501,39.878,0,30.982,missing,694,missing,missing,694,13109,missing,missing,29730,missing,na,na,0,0,0,N/A,0,N/A,N/A,852,missing,missing,30,2068,missing,2068,28,0.5,0,na,9,0,3,0,missing,missing,1.06667,0,N/A,na,na,C,1
230123,1727,1.6307,1.118,0,0,0,4771,4,1489,9454,missing,959,1110,89190,129309,1,1,1,2,2,108.91,8417.39,8022.22,84.17,233,487,487,456,3711,3711,missing,23,0.5,0,0,7,0,7,0,missing,89.702,0.16667,8,0.66805,0,0,C,1
230124,1790,0.6143,0,0,0,297,10509,652,7238,20227,missing,2996,1714,72343,missing,0,0,0,0,0,56.13,4686.82,4915.45,46.87,2464,730,730,791,12714,2707,missing,243,6.75,0,0,6,1,11,0,missing,missing,0.0625,12,0.34494,na,0,L,0
230125,1695,0.5178,9.012,0,0,2402,2402,2402,2725,0,missing,1894,6271,56487,82400,0,0,0,0,0,40.23,3940,N/A,N/A,784,1551,1551,30,2160,missing,2160,232,1,0,3,11,0,4,0,109.77,missing,0.3,11,0.18457,na,na,C,0
230126,1796,1.6043,5.299,0,0,929,3679,3679,22278,20341,missing,434,8431,89190,missing,0,0,0,0,0,4.84,235.54,459.77,1.95,1060,3589,2433,61,3589,3559,missing,244,4.5833,0,0,4,2,11,0,missing,87.347,0.13333,12,0.98003,na,0,C,0
230127,1861,0.3253,0.201,0,0,11892,22139,22139,83244,58419,missing,2636,3342,89190,609465,0,0,0,0,1,10.64,9739.32,N/A,7.19,5216,8517,8517,578,8730,3437,missing,686,10.9167,0,na,4,4,2,0,missing,48.716,0,5,0.8606,0,0,C,0
230128,1873,0.0232,0,0,0,4955,272525,10092,100097,341004,missing,9728,77341,72343,383410,0,0,0,0,0,49.08,0,N/A,39.26,1451,1734,1734,30386,7787,missing,1977,334,6,0,0,3,1,1,0,72.943,missing,0,11,0.90668,na,0,C,0
230129,1854,0.0712,0,0,0,5353,5353,5353,8919,9777,missing,2773,26285,56487,missing,0,0,0,0,0,9.97,3108.89,7333.33,31.09,548,548,548,30386,1612,243,1612,18,1.4167,0,0,4,0,3,0,74.818,89.219,0,4,0.73178,na,0,C,0
230130,1621,1.4722,25.455,0,23.796,134,134,134,134,134,1843,0,0,72343,missing,0,0,0,0,0,N/A,N/A,N/A,N/A,913,1582,1582,30,1582,missing,1186,60,1,0,1,9,0,4,0,missing,missing,1,1,N/A,na,na,L,0
230131,1714,0.3042,7.066,0,7.066,0,5990,289,8480,12897,530,8116,1256,42613,missing,3,4,4,5,5,97.25,9642.67,9642.67,96.43,588,2585,213,30,3559,365,2373,116,12,0,0,11,1,10,0,46.971,93.458,0.2,12,0.39607,na,0,C,1
